Data_Hora_Evento,Numero_Satelites,HDOP
2025-06-30 06:55:16,12.0,1.0
2025-06-30 06:55:17,12.0,1.0
2025-06-30 06:55:19,12.0,1.0
2025-06-30 06:55:20,12.0,1.0
2025-06-30 06:55:22,12.0,1.0
2025-06-30 06:55:25,12.0,1.0
2025-06-30 06:55:27,12.0,1.0
2025-06-30 06:55:39,12.0,1.0
2025-06-30 06:55:39,12.0,1.0
2025-06-30 06:55:40,12.0,1.0
2025-06-30 06:55:40,12.0,1.0
2025-06-30 06:57:48,12.0,1.0
2025-06-30 07:49:17,12.0,0.0
2025-06-30 07:49:17,12.0,0.0
2025-06-30 07:49:25,12.0,1.0
2025-06-30 07:49:25,12.0,1.0
2025-06-30 07:49:31,12.0,1.0
2025-06-30 07:49:36,12.0,1.0
2025-06-30 07:49:37,12.0,1.0
2025-06-30 07:49:50,12.0,1.0
2025-06-30 07:49:51,12.0,1.0
2025-06-30 07:49:53,12.0,1.0
2025-06-30 07:49:56,12.0,1.0
2025-06-30 07:49:56,12.0,1.0
2025-06-30 07:49:57,12.0,1.0
2025-06-30 07:49:57,12.0,1.0
2025-06-30 07:50:35,12.0,1.0
2025-06-30 07:51:39,12.0,1.0
2025-06-30 07:51:39,12.0,1.0
2025-06-30 07:51:40,12.0,1.0
2025-06-30 07:51:44,12.0,1.0
2025-06-30 07:51:57,12.0,1.0
2025-06-30 07:52:00,12.0,1.0
2025-06-30 07:52:01,12.0,1.0
2025-06-30 07:52:05,12.0,1.0
2025-06-30 07:52:21,12.0,1.0
2025-06-30 07:52:23,12.0,1.0
2025-06-30 07:52:32,12.0,1.0
2025-06-30 07:52:32,12.0,1.0
2025-06-30 07:52:32,12.0,1.0
2025-06-30 07:52:32,12.0,1.0
2025-06-30 07:53:12,12.0,1.0
2025-06-30 08:06:20,12.0,0.0
2025-06-30 08:06:20,12.0,0.0
2025-06-30 08:06:28,12.0,1.0
2025-06-30 08:06:28,12.0,1.0
2025-06-30 08:07:03,12.0,1.0
2025-06-30 08:07:08,12.0,1.0
2025-06-30 08:07:16,12.0,1.0
2025-06-30 08:07:29,12.0,1.0
2025-06-30 08:07:58,12.0,1.0
2025-06-30 08:08:06,12.0,1.0
2025-06-30 08:08:24,12.0,1.0
2025-06-30 08:08:29,12.0,1.0
2025-06-30 08:08:35,12.0,1.0
2025-06-30 08:08:39,12.0,1.0
2025-06-30 08:08:42,12.0,1.0
2025-06-30 08:08:49,12.0,1.0
2025-06-30 08:09:28,12.0,1.0
2025-06-30 08:09:49,12.0,1.0
2025-06-30 08:09:57,12.0,1.0
2025-06-30 08:10:49,12.0,1.0
2025-06-30 08:11:18,12.0,1.0
2025-06-30 08:11:20,12.0,1.0
2025-06-30 08:11:37,12.0,1.0
2025-06-30 08:11:39,12.0,1.0
2025-06-30 08:12:08,12.0,1.0
2025-06-30 08:12:19,12.0,1.0
2025-06-30 08:12:20,12.0,1.0
2025-06-30 08:12:22,12.0,1.0
2025-06-30 08:12:28,12.0,1.0
2025-06-30 08:12:34,12.0,1.0
2025-06-30 08:12:36,12.0,1.0
2025-06-30 08:13:05,12.0,1.0
2025-06-30 08:13:07,12.0,1.0
2025-06-30 08:14:12,12.0,1.0
2025-06-30 08:14:48,12.0,1.0
2025-06-30 08:14:53,12.0,1.0
2025-06-30 08:15:28,12.0,1.0
2025-06-30 08:16:18,12.0,1.0
2025-06-30 08:16:20,12.0,1.0
2025-06-30 08:16:22,12.0,1.0
2025-06-30 08:16:38,12.0,1.0
2025-06-30 08:17:09,12.0,1.0
2025-06-30 08:17:11,12.0,1.0
2025-06-30 08:17:17,12.0,1.0
2025-06-30 08:17:47,12.0,1.0
2025-06-30 08:17:49,12.0,1.0
2025-06-30 08:18:28,12.0,1.0
2025-06-30 08:19:36,12.0,1.0
2025-06-30 08:19:48,12.0,1.0
2025-06-30 08:20:01,12.0,1.0
2025-06-30 08:20:11,12.0,1.0
2025-06-30 08:20:27,12.0,1.0
2025-06-30 08:20:27,12.0,1.0
2025-06-30 08:20:27,12.0,1.0
2025-06-30 08:20:27,12.0,1.0
2025-06-30 08:21:43,12.0,1.0
2025-06-30 08:47:06,12.0,0.0
2025-06-30 08:47:06,12.0,0.0
2025-06-30 08:47:14,12.0,1.0
2025-06-30 08:47:14,12.0,1.0
2025-06-30 08:50:13,12.0,1.0
2025-06-30 08:53:13,12.0,1.0
2025-06-30 08:56:13,12.0,1.0
2025-06-30 08:56:17,12.0,1.0
2025-06-30 08:58:35,12.0,1.0
2025-06-30 08:59:13,12.0,1.0
2025-06-30 08:59:15,12.0,1.0
2025-06-30 08:59:20,12.0,1.0
2025-06-30 08:59:22,12.0,1.0
2025-06-30 08:59:36,12.0,1.0
2025-06-30 09:00:15,12.0,1.0
2025-06-30 09:01:58,12.0,1.0
2025-06-30 09:02:13,12.0,1.0
2025-06-30 09:02:43,12.0,1.0
