Data/Hora Evento,Tipo Mensagem,Motion Status,Diferença entre GTERI (IGN),Diferença entre GTERI (IGF)
2025-06-13 14:07:08,GTERI,12,,3678.0
2025-06-13 14:07:08,GTIGF,,,
2025-06-13 14:11:19,GTIGN,,,
2025-06-13 14:11:23,GTERI,22,4.0,
2025-06-13 14:14:29,GTERI,22,186.0,
2025-06-13 14:17:29,GTERI,22,180.0,
2025-06-13 14:17:42,GTIGF,,,
2025-06-13 14:17:42,GTERI,12,,0.0
2025-06-13 14:17:47,GTIGN,,,
2025-06-13 14:17:51,GTERI,22,4.0,
2025-06-13 14:17:57,GTIGF,,,
2025-06-13 14:17:58,GTERI,12,,1.0
2025-06-13 14:21:54,GTIGN,,,
2025-06-13 14:21:58,GTERI,22,4.0,
2025-06-13 14:25:04,GTERI,22,186.0,
2025-06-13 14:28:04,GTERI,22,180.0,
2025-06-13 14:31:04,GTERI,22,180.0,
2025-06-13 14:34:04,GTERI,22,180.0,
2025-06-13 14:37:04,GTERI,22,180.0,
2025-06-13 14:40:04,GTERI,22,180.0,
2025-06-13 14:40:04,GTERI,22,0.0,
2025-06-13 14:43:04,GTERI,22,180.0,
2025-06-13 14:46:04,GTERI,22,180.0,
2025-06-13 14:49:05,GTERI,22,181.0,
2025-06-13 14:52:05,GTERI,22,180.0,
2025-06-13 14:55:05,GTERI,22,180.0,
2025-06-13 14:58:05,GTERI,22,180.0,
2025-06-13 15:01:05,GTERI,22,180.0,
2025-06-13 15:04:05,GTERI,22,180.0,
2025-06-13 15:07:05,GTERI,22,180.0,
2025-06-13 15:10:05,GTERI,22,180.0,
2025-06-13 15:13:05,GTERI,22,180.0,
2025-06-13 15:16:05,GTERI,22,180.0,
2025-06-13 15:19:05,GTERI,22,180.0,
2025-06-13 15:22:05,GTERI,22,180.0,
2025-06-13 15:25:05,GTERI,22,180.0,
2025-06-13 15:28:05,GTERI,22,180.0,
2025-06-13 15:31:05,GTERI,22,180.0,
2025-06-13 15:31:05,GTERI,22,0.0,
2025-06-13 15:31:05,GTERI,22,0.0,
2025-06-13 15:31:05,GTERI,22,0.0,
2025-06-13 15:31:05,GTERI,22,0.0,
2025-06-13 15:31:05,GTERI,22,0.0,
2025-06-13 15:34:05,GTERI,22,180.0,
2025-06-13 15:37:06,GTERI,22,181.0,
2025-06-13 15:40:06,GTERI,22,180.0,
2025-06-13 15:43:06,GTERI,22,180.0,
2025-06-13 15:46:06,GTERI,22,180.0,
2025-06-13 15:49:06,GTERI,22,180.0,
2025-06-13 15:52:06,GTERI,22,180.0,
2025-06-13 15:55:06,GTERI,22,180.0,
2025-06-13 15:58:06,GTERI,22,180.0,
2025-06-13 16:01:06,GTERI,22,180.0,
2025-06-13 16:04:06,GTERI,22,180.0,
2025-06-13 16:07:06,GTERI,22,180.0,
2025-06-13 16:10:06,GTERI,22,180.0,
2025-06-13 16:13:06,GTERI,22,180.0,
2025-06-13 16:16:06,GTERI,22,180.0,
2025-06-13 16:19:06,GTERI,22,180.0,
2025-06-13 16:22:06,GTERI,22,180.0,
2025-06-13 16:25:06,GTERI,22,180.0,
2025-06-13 16:28:06,GTERI,22,180.0,
2025-06-13 16:29:39,GTIGF,,,
2025-06-13 16:29:39,GTERI,12,,0.0
2025-06-13 17:29:30,GTERI,11,,3591.0
2025-06-13 18:29:30,GTERI,11,,3600.0
2025-06-13 19:29:30,GTERI,11,,3600.0
2025-06-13 20:29:30,GTERI,11,,3600.0
2025-06-13 20:31:59,GTIGN,,,
2025-06-13 20:32:09,GTERI,22,10.0,
2025-06-13 20:35:06,GTERI,22,177.0,
2025-06-13 20:38:06,GTERI,22,180.0,
