bloco,ordem_no_bloco,latitude,longitude,data_hora,hodometro_atual,motion_status
1,206,-23.329606,-51.177442,2025-07-09 00:32:35,3.0,21.0
1,207,-23.329606,-51.177442,2025-07-09 00:35:35,3.0,21.0
1,208,-23.329606,-51.177442,2025-07-09 00:38:35,3.0,21.0
1,209,-23.329606,-51.177442,2025-07-09 00:41:35,3.0,21.0
1,210,-23.329606,-51.177442,2025-07-09 00:44:35,3.0,21.0
1,211,-23.329606,-51.177442,2025-07-09 00:47:35,3.0,21.0
1,212,-23.329606,-51.177442,2025-07-09 00:50:35,3.0,21.0
1,213,-23.329606,-51.177442,2025-07-09 00:53:35,3.0,21.0
1,214,-23.329606,-51.177442,2025-07-09 00:56:35,3.0,21.0
1,215,-23.329606,-51.177442,2025-07-09 00:59:35,3.0,21.0
1,216,-23.329606,-51.177442,2025-07-09 01:02:35,3.0,21.0
1,217,-23.329606,-51.177442,2025-07-09 01:05:35,3.0,21.0
1,218,-23.329606,-51.177442,2025-07-09 01:08:35,3.0,21.0
1,219,-23.329606,-51.177442,2025-07-09 01:11:35,3.0,21.0
1,220,-23.329606,-51.177442,2025-07-09 01:14:35,3.0,21.0
1,221,-23.329606,-51.177442,2025-07-09 01:17:35,3.0,21.0
1,222,-23.329606,-51.177442,2025-07-09 01:20:35,3.0,21.0
1,223,-23.329606,-51.177442,2025-07-09 01:23:35,3.0,21.0
1,224,-23.329606,-51.177442,2025-07-09 01:26:35,3.0,21.0
1,225,-23.329606,-51.177442,2025-07-09 01:29:35,3.0,21.0
1,226,-23.329606,-51.177442,2025-07-09 01:32:35,3.0,21.0
1,227,-23.329606,-51.177442,2025-07-09 01:35:35,3.0,21.0
1,228,-23.329606,-51.177442,2025-07-09 01:38:35,3.0,21.0
1,229,-23.329606,-51.177442,2025-07-09 01:39:09,3.0,21.0
1,230,-23.329606,-51.177442,2025-07-09 01:41:35,3.0,21.0
1,231,-23.329606,-51.177442,2025-07-09 01:44:35,3.0,21.0
1,232,-23.329606,-51.177442,2025-07-09 01:47:35,3.0,21.0
1,233,-23.329606,-51.177442,2025-07-09 01:50:35,3.0,21.0
1,234,-23.329606,-51.177442,2025-07-09 01:53:35,3.0,21.0
1,235,-23.329606,-51.177442,2025-07-09 01:56:35,3.0,21.0
1,236,-23.329606,-51.177442,2025-07-09 01:59:35,3.0,21.0
1,237,-23.329606,-51.177442,2025-07-09 02:02:35,3.0,21.0
1,238,-23.329606,-51.177442,2025-07-09 02:05:35,3.0,21.0
1,239,-23.329606,-51.177442,2025-07-09 02:08:35,3.0,21.0
1,240,-23.329606,-51.177442,2025-07-09 02:11:35,3.0,21.0
1,241,-23.329606,-51.177442,2025-07-09 02:14:35,3.0,21.0
1,242,-23.329606,-51.177442,2025-07-09 02:17:35,3.0,21.0
1,243,-23.329606,-51.177442,2025-07-09 02:20:35,3.0,21.0
1,244,-23.329606,-51.177442,2025-07-09 02:23:35,3.0,21.0
1,245,-23.329606,-51.177442,2025-07-09 02:26:35,3.0,21.0
1,246,-23.329606,-51.177442,2025-07-09 02:29:35,3.0,21.0
1,247,-23.329606,-51.177442,2025-07-09 02:32:35,3.0,21.0
1,248,-23.329606,-51.177442,2025-07-09 02:35:35,3.0,21.0
1,249,-23.329606,-51.177442,2025-07-09 02:38:35,3.0,21.0
1,250,-23.329606,-51.177442,2025-07-09 02:41:35,3.0,21.0
1,251,-23.329606,-51.177442,2025-07-09 02:44:35,3.0,21.0
1,252,-23.329606,-51.177442,2025-07-09 02:47:35,3.0,21.0
1,253,-23.329606,-51.177442,2025-07-09 02:50:35,3.0,21.0
1,254,-23.329606,-51.177442,2025-07-09 02:53:35,3.0,21.0
1,255,-23.329606,-51.177442,2025-07-09 02:56:35,3.0,21.0
1,256,-23.329606,-51.177442,2025-07-09 02:59:35,3.0,21.0
1,257,-23.329606,-51.177442,2025-07-09 03:02:35,3.0,21.0
1,258,-23.329606,-51.177442,2025-07-09 03:05:35,3.0,21.0
1,259,-23.329606,-51.177442,2025-07-09 03:08:35,3.0,21.0
1,260,-23.329606,-51.177442,2025-07-09 03:11:35,3.0,21.0
1,261,-23.329606,-51.177442,2025-07-09 03:14:35,3.0,21.0
1,262,-23.329606,-51.177442,2025-07-09 03:17:35,3.0,21.0
1,263,-23.329606,-51.177442,2025-07-09 03:20:35,3.0,21.0
1,264,-23.329606,-51.177442,2025-07-09 03:23:35,3.0,21.0
1,265,-23.329606,-51.177442,2025-07-09 03:26:35,3.0,21.0
1,266,-23.329606,-51.177442,2025-07-09 03:29:35,3.0,21.0
1,267,-23.329606,-51.177442,2025-07-09 03:32:35,3.0,21.0
1,268,-23.329606,-51.177442,2025-07-09 03:35:35,3.0,21.0
1,269,-23.329606,-51.177442,2025-07-09 03:38:35,3.0,21.0
1,270,-23.329606,-51.177442,2025-07-09 03:41:35,3.0,21.0
1,271,-23.329606,-51.177442,2025-07-09 03:44:35,3.0,21.0
1,272,-23.329606,-51.177442,2025-07-09 03:47:35,3.0,21.0
1,273,-23.329606,-51.177442,2025-07-09 03:50:35,3.0,21.0
1,274,-23.329606,-51.177442,2025-07-09 03:53:35,3.0,21.0
1,275,-23.329606,-51.177442,2025-07-09 03:56:35,3.0,21.0
1,276,-23.329606,-51.177442,2025-07-09 03:59:35,3.0,21.0
1,277,-23.329606,-51.177442,2025-07-09 04:02:35,3.0,21.0
1,278,-23.329606,-51.177442,2025-07-09 04:05:35,3.0,21.0
1,279,-23.329606,-51.177442,2025-07-09 04:08:35,3.0,21.0
1,280,-23.329606,-51.177442,2025-07-09 04:11:35,3.0,21.0
1,281,-23.329606,-51.177442,2025-07-09 04:14:35,3.0,21.0
1,282,-23.329606,-51.177442,2025-07-09 04:17:35,3.0,21.0
1,283,-23.329606,-51.177442,2025-07-09 04:20:35,3.0,21.0
1,284,-23.329606,-51.177442,2025-07-09 04:23:35,3.0,21.0
1,285,-23.329606,-51.177442,2025-07-09 04:26:35,3.0,21.0
1,286,-23.329606,-51.177442,2025-07-09 04:29:35,3.0,21.0
1,287,-23.329606,-51.177442,2025-07-09 04:32:35,3.0,21.0
1,288,-23.329606,-51.177442,2025-07-09 04:35:35,3.0,21.0
1,289,-23.329606,-51.177442,2025-07-09 04:38:35,3.0,21.0
1,290,-23.329606,-51.177442,2025-07-09 04:41:35,3.0,21.0
1,291,-23.329606,-51.177442,2025-07-09 04:44:35,3.0,21.0
1,292,-23.329606,-51.177442,2025-07-09 04:45:27,3.0,21.0
1,293,-23.32982,-51.177505,2025-07-09 04:46:30,3.0,21.0
1,294,-23.329887,-51.177603,2025-07-09 04:47:35,3.0,21.0
1,295,-23.329887,-51.177603,2025-07-09 04:50:35,3.0,21.0
1,296,-23.329887,-51.177603,2025-07-09 04:53:35,3.0,21.0
